[083-Dati Ciclo]
Numero di fabbrica: 16066028
Indirizzo: 10.17.0.244
Data inizio ciclo: 171120
Ora inizio ciclo: 182747
Data fine ciclo: 171120
Ora fine ciclo: 190610
Codice Commessa: MM16066028009873
Numero Ciclo PLC: 3 - STANDARD PERACET
Operatore PLC: MALAGUTI CRISTIANA
Esito: 1 - Ciclo OK
Ciclo Macchina: 9873
Strumento 1: 123 - EC38I10N A110305 - N.A. - N.A.
Strumento 2: 126 - EC34I10F K110104 - N.A. - N.A.
Strumento 3:  -  - N.A. - N.A.
Strumento 4:  -  - N.A. - N.A.
Strumento 5:  -  - N.A. - N.A.
Strumento 6:  -  - N.A. - N.A.
Strumento 7:  -  - N.A. - N.A.
Strumento 8:  -  - N.A. - N.A.
Strumento 9:  -  - N.A. - N.A.
Operatore scarico: 840
01 18:27:53 023.9 024.2 027.0 000 000 000 000 000
01 18:27:56 023.9 024.1 027.0 000 000 003 005 000
01 18:28:01 023.9 024.1 027.0 000 000 061 061 000
01 18:28:05 024.1 024.1 027.0 000 000 143 143 000
01 18:28:09 024.1 024.1 027.0 000 000 218 218 000
01 18:28:12 024.1 024.1 027.0 000 000 226 226 000
01 18:28:17 024.3 024.1 026.9 000 000 223 223 000
01 18:28:21 024.3 024.3 026.9 000 000 222 223 000
01 18:28:25 024.4 024.3 026.9 000 000 222 222 000
01 18:28:29 024.4 024.4 026.9 000 000 250 249 000
01 18:28:33 024.4 024.4 026.9 000 000 310 311 000
01 18:28:37 024.6 024.4 026.9 000 000 306 307 000
01 18:28:41 024.6 024.4 026.9 000 000 305 304 000
01 18:28:45 024.6 024.4 026.9 000 000 305 304 000
01 18:28:49 024.6 024.5 026.9 000 000 305 304 000
01 18:28:52 024.6 024.5 026.7 000 000 234 235 000
01 18:28:57 024.7 024.6 026.9 000 000 237 236 000
01 18:29:00 024.7 024.7 026.7 000 000 237 237 000
01 18:29:05 024.7 024.7 026.7 000 000 237 237 000
01 18:29:08 024.7 024.8 026.7 000 000 237 237 000
01 18:29:12 024.7 024.8 026.7 000 000 237 237 000
01 18:29:17 024.7 024.8 026.7 000 000 237 236 000
01 18:29:20 024.7 024.9 026.7 000 000 237 236 000
01 18:29:25 024.7 024.9 026.7 000 000 238 236 000
01 18:29:28 024.7 024.9 026.6 000 010 238 236 000
01 18:29:33 024.7 024.9 026.6 000 000 237 236 000
01 18:29:36 024.7 024.9 026.6 000 000 238 236 000
01 18:29:41 024.6 024.9 026.6 000 000 237 236 000
01 18:29:45 024.4 024.8 026.4 000 000 237 236 000
01 18:29:49 024.4 024.7 025.7 000 000 237 236 000
01 18:29:53 024.4 024.7 023.6 000 000 237 236 000
01 18:29:57 024.4 024.7 022.6 000 000 237 236 000
01 18:30:01 024.4 024.7 022.5 000 000 237 236 000
01 18:30:04 024.4 024.7 022.3 000 000 237 235 000
01 18:30:09 024.4 024.7 022.2 000 000 237 236 000
01 18:30:12 024.4 024.7 022.2 000 000 237 236 000
01 18:30:17 024.4 024.7 022.2 000 000 237 235 000
01 18:30:20 024.4 024.8 022.0 000 000 237 235 000
01 18:30:25 024.6 024.8 022.0 000 000 237 235 000
01 18:30:29 024.6 024.8 022.0 000 000 236 235 000
01 18:30:33 024.6 024.8 022.0 000 000 236 235 000
01 18:30:37 024.6 024.8 022.0 000 000 236 235 000
01 18:30:40 024.6 024.8 022.0 000 000 236 235 000
01 18:30:45 024.6 024.9 022.2 000 000 235 235 000
01 18:30:48 024.6 024.9 022.2 000 000 236 234 000
01 18:30:53 024.6 024.9 022.2 000 000 235 234 000
01 18:30:56 024.6 024.9 022.2 000 000 236 234 000
01 18:31:01 024.6 024.9 022.2 000 000 236 234 000
01 18:31:05 024.6 024.9 022.2 000 000 235 234 000
01 18:31:09 024.6 024.9 022.2 000 000 235 234 000
01 18:31:13 024.7 024.9 022.2 000 047 237 235 000
01 18:31:16 024.6 024.9 021.8 000 063 238 235 000
01 18:31:21 023.8 024.2 022.2 000 074 238 235 000
01 18:31:24 023.2 023.6 022.6 000 072 238 235 000
01 18:31:29 022.9 023.2 023.0 000 075 237 234 000
01 18:31:32 022.8 023.2 023.1 000 074 237 234 000
01 18:31:37 022.8 023.2 023.6 000 075 236 233 000
01 18:31:40 022.8 023.2 023.9 000 074 236 233 000
01 18:31:45 022.9 023.5 024.2 000 074 236 233 000
01 18:31:48 023.2 023.6 024.3 000 074 236 233 000
01 18:31:53 023.5 024.0 024.8 000 073 236 233 000
01 18:31:56 023.8 024.2 025.0 000 074 237 233 000
01 18:32:01 024.1 024.4 025.3 000 074 238 233 000
01 18:32:05 024.4 024.7 025.6 000 074 238 233 000
01 18:32:09 024.6 024.9 025.7 000 073 238 233 000
01 18:32:13 024.9 025.1 026.0 000 073 238 234 000
01 18:32:16 025.0 025.4 026.1 000 073 238 234 000
01 18:32:21 025.3 025.7 026.4 000 073 239 234 000
01 18:32:24 025.5 025.9 026.6 000 075 239 235 000
01 18:32:29 025.8 026.2 026.9 000 075 239 235 000
01 18:32:32 026.0 026.4 027.0 000 075 239 235 000
01 18:32:37 026.3 026.6 027.4 000 073 241 236 000
01 18:32:40 026.4 026.8 027.5 000 073 241 236 000
01 18:32:45 026.7 027.1 027.8 000 073 241 236 000
01 18:32:48 026.9 027.3 028.0 000 074 242 236 000
01 18:32:53 027.2 027.5 028.3 000 072 243 237 000
01 18:32:57 027.5 027.8 028.4 000 072 243 238 000
01 18:33:01 027.7 027.9 028.8 000 072 244 238 000
01 18:33:05 027.8 028.2 028.9 000 071 245 238 000
01 18:33:08 028.0 028.3 029.1 000 071 245 239 000
01 18:33:13 028.3 028.8 029.4 000 071 245 239 000
01 18:33:16 028.5 028.8 029.5 000 072 246 239 000
01 18:33:21 028.6 029.2 029.7 000 072 246 239 000
01 18:33:24 028.8 029.3 029.9 000 074 247 240 000
01 18:33:29 029.1 029.5 030.1 000 074 248 242 000
01 18:33:32 029.1 029.8 030.4 000 074 248 242 000
01 18:33:37 029.5 029.9 030.5 000 073 249 242 000
01 18:33:41 029.7 030.3 030.7 000 072 250 243 000
01 18:33:45 030.0 030.3 031.0 000 072 250 243 000
01 18:33:49 030.2 030.6 031.2 000 073 251 243 000
01 18:33:53 030.3 030.8 031.3 000 073 251 244 000
01 18:33:57 030.5 031.1 031.6 000 072 253 245 000
01 18:34:00 030.8 031.3 031.8 000 073 253 245 000
01 18:34:05 031.0 031.4 031.9 000 074 254 245 000
01 18:34:08 031.1 031.7 032.3 000 074 255 246 000
01 18:34:13 031.3 031.8 032.4 000 074 254 246 000
01 18:34:16 031.6 032.1 032.6 000 074 256 246 000
01 18:34:21 031.7 032.2 032.9 000 074 257 247 000
01 18:34:25 031.9 032.5 033.0 000 073 257 247 000
01 18:34:29 032.2 032.7 033.2 000 072 258 249 000
01 18:34:33 032.4 032.7 033.5 000 072 258 249 000
01 18:34:37 032.5 033.1 033.6 000 075 259 249 000
01 18:34:41 032.7 033.2 033.7 000 074 260 249 000
01 18:34:45 033.0 033.5 033.9 000 072 260 250 000
01 18:34:49 033.2 033.7 034.2 000 072 261 250 000
01 18:34:52 033.3 033.7 034.4 000 072 261 250 000
01 18:34:57 033.6 034.1 034.5 000 073 262 252 000
01 18:35:01 033.8 034.2 034.7 000 072 263 252 000
01 18:35:05 033.9 034.5 035.0 000 072 264 252 000
01 18:35:09 034.1 034.6 035.1 000 096 265 253 000
01 18:35:13 034.4 034.9 035.3 000 078 265 254 000
01 18:35:17 034.6 035.1 035.6 000 071 265 253 000
01 18:35:21 034.7 035.2 035.8 000 074 267 255 000
01 18:35:25 035.0 035.5 035.9 000 073 267 255 000
01 18:35:28 035.1 035.6 036.1 000 073 267 255 000
01 18:35:33 035.5 036.0 036.2 000 085 269 255 000
01 18:35:36 035.6 036.2 036.2 000 070 268 256 000
01 18:35:41 035.6 036.2 036.2 000 071 270 257 000
01 18:35:44 035.8 036.2 036.6 000 072 270 257 000
01 18:35:49 035.9 036.5 036.7 000 072 270 258 000
01 18:35:53 036.1 036.7 037.0 000 073 271 259 000
01 18:35:57 036.2 036.7 037.0 000 083 272 259 000
01 18:36:01 036.6 037.0 037.2 000 069 271 259 000
01 18:36:04 036.6 037.1 037.2 000 071 274 260 000
01 18:36:09 036.7 037.1 037.0 000 071 274 260 000
01 18:36:12 036.7 037.1 037.0 000 070 274 260 000
01 18:36:17 036.7 037.1 037.0 000 070 275 259 000
01 18:36:20 036.7 037.1 037.0 000 069 275 261 000
01 18:36:25 036.7 037.1 037.0 000 072 275 262 000
01 18:36:28 036.7 037.1 037.0 000 072 275 262 000
01 18:36:33 036.7 037.1 037.0 000 074 277 262 000
01 18:36:37 036.7 037.1 037.0 000 075 277 262 000
01 18:36:41 036.7 037.1 037.0 000 074 277 262 000
01 18:36:45 036.7 037.2 037.0 000 072 277 262 000
01 18:36:49 036.7 037.2 037.0 000 072 277 262 000
01 18:36:53 036.7 037.2 037.0 000 072 277 263 000
